,track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,year,lyrics
0,Shake It,Metro Station,53,Metro Station,68,0.618,0.955,-3.836,1,4,0.0798,0.00221,3.09e-06,0.486,0.79,150.034,4,179947,2019,"Let’s drop!
Yeah, come on
Shake, shake

I'll take you home if you don't leave me at the front door
Your body's cold, but girl, we're getting so warm
And I was thinking of ways that I could get inside

Tonight, you're falling in love (Let me go now)
This feeling's tearing me up (Here we go now)

Now if she does it like this, will you do it like that?
Now if she touches like this, will you touch her right back?
Now if she moves like this, will you move her like that?
Come on, shake shake, shake shake, a-shake it
A-shake shake, shake shake, a-shake it
A-shake shake, shake shake, a-shake it
A-shake shake, shake shake, a-shake it
A-shake shake, shake shake, a-shake it

Your lips tremble, but your eyes are in a straight stare
We're on the bed, but your clothes are laying right there
And I was thinking of places that I could hide

Tonight you're falling in love (Let me go now)
This feeling's tearing me up (Here we go now)

Now if she does it like this, will you do it like that?
Now if she touches like this, will you touch her right back?
Now if she moves like this, will you move her like that?
Come on, shake shake, shake shake, a-shake it
A-shake shake, shake shake, a-shake it
A-shake shake, shake shake, a-shake it
A-shake shake, shake shake, a-shake it
A-shake shake, shake shake, a-shake it

I saw you dancing and I couldn't get you off my mind
And I could tell that you could tell that I was taking my time
But I was thinking of ways to get you staying the night
Your body's shaking, tell me off so I can turn off the lights

Now if she does it like this, will you do it like that?
Now if she touches like this, will you touch her right back?
Now if she moves like this, will you move her like that?
Come on, shake shake, shake shake, a-shake it
A-shake shake, shake shake, a-shake it
A-shake shake, shake shake, a-shake it
A-shake shake, shake shake, a-shake it
A-shake shake, shake shake, a-shake it

A-shake shake, shake shake, a-shake it
A-shake shake, shake shake, a-shake it
A-shake shake, shake shake, a-shake it
A-shake shake, shake shake, a-shake it"
1,Chinese New Year,SALES,61,SALES - EP,53,0.744,0.845,-7.422,0,4,0.253,0.759,0.232,0.1,0.749,75.221,4,160000,2019,"I'll see you at the movies
I see you with your lipstick on
I'm looking out for cosmos
I'm hoping that we get along
It's time for innovation
It’s time for us to make a change
It's time for a Chinese New Year
It's time for me to make a way

And I can’t
No I can’t wait to get far from here
No I can’t, I can’t wait to get out of here
No I can’t
No I can’t, no I can’t wait to get out of here

I'll see you at the movies
I see you with your lipstick on
I'm looking out for cosmos
I'm hoping that we get along
It's time for innovation
It’s time for us to make a change
It's time for a Chinese New Year
It's time for me to make a way

Sweared a lot
And I bared a lot
I was there a lot
Last year
Wept a lot
Oh, baby, you slept a lot
I was left a lot
Last year
Pleased a lot
Baby, you seized my heart
And I
Started to fall last year"
2,Chinese New Year,SALES,61,Chinese New Year,66,0.744,0.845,-7.422,0,4,0.253,0.759,0.232,0.1,0.749,75.221,4,160000,2020,"I'll see you at the movies
I see you with your lipstick on
I'm looking out for cosmos
I'm hoping that we get along
It's time for innovation
It’s time for us to make a change
It's time for a Chinese New Year
It's time for me to make a way

And I can’t
No I can’t wait to get far from here
No I can’t, I can’t wait to get out of here
No I can’t
No I can’t, no I can’t wait to get out of here

I'll see you at the movies
I see you with your lipstick on
I'm looking out for cosmos
I'm hoping that we get along
It's time for innovation
It’s time for us to make a change
It's time for a Chinese New Year
It's time for me to make a way

Sweared a lot
And I bared a lot
I was there a lot
Last year
Wept a lot
Oh, baby, you slept a lot
I was left a lot
Last year
Pleased a lot
Baby, you seized my heart
And I
Started to fall last year"
3,Baby I'm Yours,Breakbot,57,By Your Side,69,0.829,0.792,-3.755,0,2,0.0668,0.726,5.83e-06,0.122,0.758,118.05,4,215507,2019,"I thought I had it all together
But I was led astray
The day you walked away
You were the clock that was ticking in my heart
Changed my state of mind
But love's so hard to find
Your feelings changed like the weather
Went from clear to gray
On that cloudy day
How can I go on without falling apart?
Love's so hard to find
When someone's on your mind

Listen, baby
Your wish is my command
Baby, won't you understand
That your wish is my command?
What can I do to make my baby understand?

Something tells me that I'm dreaming
I can see us there
Waving unaware
Of problems that have a tendency to keep
Keep the truth confined
Far from our minds
You need someone you can believe in
This I do declare
Trust me I'll be there
The road that leads to Heaven can be so steep
I will help you climb
Change your state of mind

Listen, baby
Your wish is my command
Baby, won't you understand
That your wish is my command?
What can I do to make my baby understand?
Your wish is my command
Baby won't you understand
That your wish is my command?

I can see us there
Waving unaware
This I do declare
Trust me I'll be there
I can see us there
Waving unaware
This I do declare
Trust me I'll be there
I can see us there
Waving unaware
This I do declare
Trust me I'll be there

Listen, baby
Your wish is my command
Baby, won't you understand
That your wish is my command?
What can I do to make my baby understand?

Follow me into, into my sleep
Baby, I'm yours, I'm yours to keep
You've got the magic that entered my heart and my mind

Your wish is my command
Baby, won't you understand?
Your wish is my command
Baby, won't you understand?
Your wish is my command
Baby, won't you understand?
Your wish is my command
Baby, won't you understand?"
4,Baby I'm Yours,Breakbot,57,By Your Side,69,0.829,0.792,-3.755,0,2,0.0668,0.726,5.83e-06,0.122,0.758,118.05,4,215507,2020,"I thought I had it all together
But I was led astray
The day you walked away
You were the clock that was ticking in my heart
Changed my state of mind
But love's so hard to find
Your feelings changed like the weather
Went from clear to gray
On that cloudy day
How can I go on without falling apart?
Love's so hard to find
When someone's on your mind

Listen, baby
Your wish is my command
Baby, won't you understand
That your wish is my command?
What can I do to make my baby understand?

Something tells me that I'm dreaming
I can see us there
Waving unaware
Of problems that have a tendency to keep
Keep the truth confined
Far from our minds
You need someone you can believe in
This I do declare
Trust me I'll be there
The road that leads to Heaven can be so steep
I will help you climb
Change your state of mind

Listen, baby
Your wish is my command
Baby, won't you understand
That your wish is my command?
What can I do to make my baby understand?
Your wish is my command
Baby won't you understand
That your wish is my command?

I can see us there
Waving unaware
This I do declare
Trust me I'll be there
I can see us there
Waving unaware
This I do declare
Trust me I'll be there
I can see us there
Waving unaware
This I do declare
Trust me I'll be there

Listen, baby
Your wish is my command
Baby, won't you understand
That your wish is my command?
What can I do to make my baby understand?

Follow me into, into my sleep
Baby, I'm yours, I'm yours to keep
You've got the magic that entered my heart and my mind

Your wish is my command
Baby, won't you understand?
Your wish is my command
Baby, won't you understand?
Your wish is my command
Baby, won't you understand?
Your wish is my command
Baby, won't you understand?"
5,Baby I'm Yours,Breakbot,57,By Your Side,69,0.829,0.792,-3.755,0,2,0.0668,0.726,5.83e-06,0.122,0.758,118.05,4,215507,2022,"I thought I had it all together
But I was led astray
The day you walked away
You were the clock that was ticking in my heart
Changed my state of mind
But love's so hard to find
Your feelings changed like the weather
Went from clear to gray
On that cloudy day
How can I go on without falling apart?
Love's so hard to find
When someone's on your mind

Listen, baby
Your wish is my command
Baby, won't you understand
That your wish is my command?
What can I do to make my baby understand?

Something tells me that I'm dreaming
I can see us there
Waving unaware
Of problems that have a tendency to keep
Keep the truth confined
Far from our minds
You need someone you can believe in
This I do declare
Trust me I'll be there
The road that leads to Heaven can be so steep
I will help you climb
Change your state of mind

Listen, baby
Your wish is my command
Baby, won't you understand
That your wish is my command?
What can I do to make my baby understand?
Your wish is my command
Baby won't you understand
That your wish is my command?

I can see us there
Waving unaware
This I do declare
Trust me I'll be there
I can see us there
Waving unaware
This I do declare
Trust me I'll be there
I can see us there
Waving unaware
This I do declare
Trust me I'll be there

Listen, baby
Your wish is my command
Baby, won't you understand
That your wish is my command?
What can I do to make my baby understand?

Follow me into, into my sleep
Baby, I'm yours, I'm yours to keep
You've got the magic that entered my heart and my mind

Your wish is my command
Baby, won't you understand?
Your wish is my command
Baby, won't you understand?
Your wish is my command
Baby, won't you understand?
Your wish is my command
Baby, won't you understand?"
6,The Git Up,Blanco Brown,60,The Git Up,2,0.847,0.678,-8.635,1,9,0.109,0.0669,0.0,0.274,0.811,97.984,4,200594,2019,"Right now
I just need you to get real loose
Get comfortable
Grab your loved ones or grab your love, partner
And if you're by yourself, no worries
Just follow after me

Go'n and do the two-step, then cowboy boogie
Grab your sweetheart and spin out with 'em
Do the hoedown and get into it (Woo-hoo-hoo)
Take it to the left now and dip with it
Go'n throw down, take a sip with it
Now lean back, put your hips in it (Woo-hoo-hoo)
Let's have some fun

To the left, to the left now (To the left, to the left)
To the right, to the right (To the right)
Now take your left hand and (Uh)
Put it on your side (Put it on your side)
Go'n roll your shoulders (Roll your shoulders)
Do the slip and slide (Do the slip and slide)
This next part's my favorite part, uh
'Cause it's time to shine

Go'n and do the two-step, then cowboy boogie
Grab your sweetheart and spin out with 'em
Do the hoedown and get into it (Woo-hoo-hoo)
Take it to the left now and dip with it
Go'n throw down, take a sip with it
Now lean back, put your hips in it (Woo-hoo-hoo)
It's simple, you can do it

Slide to the left (Left), slide to the right (Right)
Now cool down (Hoo), have a good time (Yeah)
Slide to the left (Left), slide to the right (Right)
Do the butterfly (Oh), have a good time
'Round, 'round, 'round and 'round you go
It's time to show out right now and take to the floor

Go'n and do the two-step, then cowboy boogie
Grab your sweetheart and spin out with 'em
Do the hoedown and get into it (Woo-hoo-hoo)
Take it to the left now and dip with it
Go'n throw down, take a sip with it
Now lean back, put your hips in it (Woo-hoo-hoo)

(To the left)
Take it down now, take it, take it down now
Take it down now, take it, take it down now
(To the right)
Bring it up now, bring it, bring it up now
Bring it up now, bring it, bring it up now
(To the front)
Take it down and crisscross
Bring it up, now crisscross
(To the back)
Do whatever you like right here (Get down)
Just have fun

Go'n and do the two-step, then cowboy boogie
Grab your sweetheart and spin out with 'em
Do the hoedown and get into it (Woo-hoo-hoo)
Take it to the left now and dip with it
Go'n throw down, take a sip with it
Now lean back, put your hips in it (Woo-hoo-hoo), uh

That was not so bad, that was, that, that was not so bad, was it?
That was not so bad, that, that, that was not so bad, was it?
That was not so bad, that was, that, that was not so bad, was it?
That was not so bad, that, that, that was not so bad, was it?

Go'n and do the two-step, then cowboy boogie
Grab your sweetheart and spin out with 'em
Do the hoedown and get into it (Woo-hoo-hoo)
Take it to the left now and dip with it
Go'n throw down, take a sip with it
Now lean back, put your hips in it (Woo-hoo-hoo)"
7,The Git Up,Blanco Brown,60,The Git Up,3,0.847,0.678,-8.635,1,9,0.109,0.0669,0.0,0.274,0.811,97.984,4,200594,2022,"Right now
I just need you to get real loose
Get comfortable
Grab your loved ones or grab your love, partner
And if you're by yourself, no worries
Just follow after me

Go'n and do the two-step, then cowboy boogie
Grab your sweetheart and spin out with 'em
Do the hoedown and get into it (Woo-hoo-hoo)
Take it to the left now and dip with it
Go'n throw down, take a sip with it
Now lean back, put your hips in it (Woo-hoo-hoo)
Let's have some fun

To the left, to the left now (To the left, to the left)
To the right, to the right (To the right)
Now take your left hand and (Uh)
Put it on your side (Put it on your side)
Go'n roll your shoulders (Roll your shoulders)
Do the slip and slide (Do the slip and slide)
This next part's my favorite part, uh
'Cause it's time to shine

Go'n and do the two-step, then cowboy boogie
Grab your sweetheart and spin out with 'em
Do the hoedown and get into it (Woo-hoo-hoo)
Take it to the left now and dip with it
Go'n throw down, take a sip with it
Now lean back, put your hips in it (Woo-hoo-hoo)
It's simple, you can do it

Slide to the left (Left), slide to the right (Right)
Now cool down (Hoo), have a good time (Yeah)
Slide to the left (Left), slide to the right (Right)
Do the butterfly (Oh), have a good time
'Round, 'round, 'round and 'round you go
It's time to show out right now and take to the floor

Go'n and do the two-step, then cowboy boogie
Grab your sweetheart and spin out with 'em
Do the hoedown and get into it (Woo-hoo-hoo)
Take it to the left now and dip with it
Go'n throw down, take a sip with it
Now lean back, put your hips in it (Woo-hoo-hoo)

(To the left)
Take it down now, take it, take it down now
Take it down now, take it, take it down now
(To the right)
Bring it up now, bring it, bring it up now
Bring it up now, bring it, bring it up now
(To the front)
Take it down and crisscross
Bring it up, now crisscross
(To the back)
Do whatever you like right here (Get down)
Just have fun

Go'n and do the two-step, then cowboy boogie
Grab your sweetheart and spin out with 'em
Do the hoedown and get into it (Woo-hoo-hoo)
Take it to the left now and dip with it
Go'n throw down, take a sip with it
Now lean back, put your hips in it (Woo-hoo-hoo), uh

That was not so bad, that was, that, that was not so bad, was it?
That was not so bad, that, that, that was not so bad, was it?
That was not so bad, that was, that, that was not so bad, was it?
That was not so bad, that, that, that was not so bad, was it?

Go'n and do the two-step, then cowboy boogie
Grab your sweetheart and spin out with 'em
Do the hoedown and get into it (Woo-hoo-hoo)
Take it to the left now and dip with it
Go'n throw down, take a sip with it
Now lean back, put your hips in it (Woo-hoo-hoo)"
8,Say Hey (I Love You),Michael Franti & Spearhead,58,All Rebel Rockers,0,0.738,0.983,-4.374,0,5,0.0855,0.038,5.93e-06,0.183,0.957,92.998,4,235760,2019,"Comme da selecta
Ayy, uh-huh, woo (That's right)
Yeah, yeah, yeah, yeah, yeah
Uh-huh, uh-huh
This one goes out to you and yours, worldwide

I say, ""Hey, I'll be gone today
But I'll be back all around the way""
It seems like everywhere I go
The more I see, the less I know
But I know (I know) one thing (One thing), that I love you (Baby girl)
I love you, I love you, I love you (It's true)

I've been a lot of places all around the way (Yeah?)
I've seen a lot of joy, and I've seen a lot of pain
But I don't want to write a love song for the world
I just want to write a song about a boy and a girl
Junkies on the corner always callin' my name (Okay)
And the kids on the corner playing ghetto games
When I saw you gettin' down, girl, I hope it was you
And when I look into your eyes, I knew it was true (Hahaha)

I say, ""Hey, I'll be gone today
But I'll be back all around the way"" (Uh-huh)
It seems like everywhere I go
The more I see, the less I know
But I know (I know) one thing (One thing), that I love you (Baby girl)
I love you, I love you, I love you (Haha)

Now, I'm not a highly metaphysical man
But I know when the stars are aligned, you can (Okay)
Bump into a person in the middle of the road
Look into their eyes, and you suddenly know
Rocking in the dance hall, moving with you (Rockin', rockin', woo)
Dancin' in the night light in the middle of June
My momma told me, don't lose you
'Cause the best luck I had was you (True)

I say, ""Hey, I'll be gone today
But I'll be back all around the way"" (You Promise?)
It seems like everywhere I go
The more I see, the less I know (The more I see, the less I know)
But I know (I know) one thing (One thing), that I love you (Baby girl)
I love you, I love you, I love you

And I say, ""Rockin' in the dance hall, moving with you""
I say, ""Hey momma, hey momma, close to you""
Rocking in the dance hall, moving with you
I say, ""Hey poppa, hey poppa, close to you""
Rocking in the dance hall moving with you
I say, ""Hey momma, hey momma, close to you""
Rocking in the dance hall, moving with you
I say, ""Hey momma, hey momma, hey momma, hey momma
Hey momma, hey momma, hey momma, hey momma
What you gonna do?""
Well, my momma told me, don't lose you
'Cause the best luck I had was you (Awe)
And I know one thing, that I love you (Ahh)

I say, ""Hey, I'll be gone today"" (Okay)
But I'll be back all around the way (You promise?)
It seems like everywhere I go
The more I see, the less I know
I say, ""Hey, I'll be gone today
But I'll be back all around the way""
It seems like everywhere I go
The more I see, the less I know
But I know (I know) one thing (One thing), that I love you (Baby girl)
I love you, I love you, I love you (Uh-huh, uh-huh)
I love you, I love you, I love you (Rocking in the dance hall, I'm moving with you)
I love you, I love you, I love you (It's true, it's true)
I love you (Haha), I love you (Ha), I love you (Haha, haha)

Rockin' in the dance hall, moving with you
(I say, ""Hey poppa, hey poppa"")
Hey momma, hey momma
Rockin' in the dance hall, moving with you
(Come on, hey poppa, hey poppa)
Hey momma, hey momma
Woo"
9,Falling for U,Peachy!,57,Falling for U,1,0.516,0.358,-12.018,0,8,0.424,0.743,1.3e-06,0.0813,0.397,79.509,4,124000,2019,"I was hanging with you and then I realized
I didn't think it was true, I was surprised
When I found out I'd fallen for you (Da-da)
I didn't wanna believe my feelings for you
I didn't wanna believe that I could lose you
If I told you just how I felt

But I can't help it, I'm falling for you
And I can't quit it 'cause I'm stuck on you
And it might be pathetic and you might be skeptical
But I just want to be with you
Please tell me, boy, can you get a clue or come through?
'Cause I just want to be with you

I'm scared
Of telling you how I feel
Maybe it's better
If I just try to conceal the truth
For me and for you

But I'm still stuck on you
I, I, I'm still falling for you (For you)
For you
Mm, mm
Mm, mm-mm, mm"
